地域コード,地域,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,夜間人口／総数（人）,夜間人口／男（人）,夜間人口／女（人）,昼夜間人口比率（夜間人口=100）／総数（人）,昼夜間人口比率（夜間人口=100）／男（人）,昼夜間人口比率（夜間人口=100）／女（人）,面積（km2）,人口密度／昼間人口(人／ｋm2),人口密度／夜間人口(人／ｋm2)
13000,東京都総数,15576130,8173306,7402824,13159388,6512110,6647278,118.4,125.5,111.4,2177.89,7151.9,6042.3
13100,区部,11711537,6326578,5384959,8945695,4412050,4533645,130.9,143.4,118.8,617.03,18980.5,14498
13101,千代田区,819247,531198,288049,47115,23394,23721,1738.8,2270.7,1214.3,11.64,70382,4047.7
13102,中央区,605926,380020,225906,122762,59046,63716,493.6,643.6,354.6,10.18,59521.2,12059.1
13103,港区,886173,556845,329328,205131,96025,109106,432,579.9,301.8,20.34,43568,10085.1
13104,新宿区,750120,429257,320863,326309,161921,164388,229.9,265.1,195.2,18.23,41147.6,17899.6
13105,文京区,345423,182659,162764,206626,98849,107777,167.2,184.8,151,11.31,30541.4,18269.3
13106,台東区,294756,173444,121312,175928,92188,83740,167.5,188.1,144.9,10.08,29241.7,17453.2
13107,墨田区,279272,150262,129010,247606,123385,124221,112.8,121.8,103.9,13.75,20310.7,18007.7
13108,江東区,548976,309999,238977,460819,228681,232138,119.1,135.6,102.9,39.94,13745,11537.8
13109,品川区,527019,304863,222156,365302,180246,185056,144.3,169.1,120,22.72,23196.3,16078.4
13110,目黒区,293382,145561,147821,268330,125509,142821,109.3,116,103.5,14.7,19958,18253.7
13111,大田区,684451,362152,322299,693373,347876,345497,98.7,104.1,93.3,59.46,11511.1,11661.2
13112,世田谷区,812810,380710,432100,877138,419671,457467,92.7,90.7,94.5,58.08,13994.7,15102.2
13113,渋谷区,520698,280810,239888,204492,97265,107227,254.6,288.7,223.7,15.11,34460.5,13533.6
13114,中野区,289176,144923,144253,314750,157204,157546,91.9,92.2,91.6,15.59,18548.8,20189.2
13115,杉並区,480172,224820,255352,549569,263837,285732,87.4,85.2,89.4,34.02,14114.4,16154.3
13116,豊島区,422995,224057,198938,284678,143806,140872,148.6,155.8,141.2,13.01,32513.1,21881.5
13117,北区,321581,161626,159955,335544,166104,169440,95.8,97.3,94.4,20.59,15618.3,16296.5
13118,荒川区,191626,98792,92834,203296,100801,102495,94.3,98,90.6,10.2,18786.9,19931
13119,板橋区,493747,244847,248900,535824,265665,270159,92.1,92.2,92.1,32.17,15348.1,16656
13120,練馬区,588243,276406,311837,716124,350647,365477,82.1,78.8,85.3,48.16,12214.3,14869.7
13121,足立区,608632,302638,305994,683426,344195,339231,89.1,87.9,90.2,53.2,11440.5,12846.4
13122,葛飾区,376235,183202,193033,442586,222034,220552,85,82.5,87.5,34.79,10814.5,12721.6
13123,江戸川区,570877,277487,293390,678967,343701,335266,84.1,80.7,87.5,49.76,11472.6,13644.8
13200,市部,3776318,1801467,1974851,4127128,2056315,2070813,91.5,87.6,95.4,783.93,4817.2,5264.7
13201,八王子市,578039,288721,289318,580053,293462,286591,99.7,98.4,101,186.31,3102.6,3113.4
13202,立川市,203252,101275,101977,179668,89470,90198,113.1,113.2,113.1,24.38,8336.8,7369.5
13203,武蔵野市,153267,71901,81366,138734,66406,72328,110.5,108.3,112.5,10.73,14284,12929.5
13204,三鷹市,166284,81309,84975,186083,91997,94086,89.4,88.4,90.3,16.5,10077.8,11277.8
13205,青梅市,127303,61818,65485,139339,69742,69597,91.4,88.6,94.1,103.26,1232.8,1349.4
13206,府中市,246380,127979,118401,255506,131558,123948,96.4,97.3,95.5,29.34,8397.4,8708.5
13207,昭島市,100273,49434,50839,112297,56320,55977,89.3,87.8,90.8,17.33,5786.1,6479.9
13208,調布市,195986,91264,104722,223593,110805,112788,87.7,82.4,92.8,21.53,9102.9,10385.2
13209,町田市,388575,174092,214483,426987,209580,217407,91,83.1,98.7,71.63,5424.8,5961
13210,小金井市,102683,49532,53151,118852,59515,59337,86.4,83.2,89.6,11.33,9062.9,10490
13211,小平市,166106,77791,88315,187035,92886,94149,88.8,83.7,93.8,20.46,8118.6,9141.5
13212,日野市,158452,78456,79996,180052,91236,88816,88,86,90.1,27.53,5755.6,6540.2
13213,東村山市,125378,56657,68721,153557,75461,78096,81.6,75.1,88,17.17,7302.2,8943.3
13214,国分寺市,100798,47804,52994,120650,59967,60683,83.5,79.7,87.3,11.48,8780.3,10509.6
13215,国立市,73597,35405,38192,75510,37525,37985,97.5,94.4,100.5,8.15,9030.3,9265
13218,福生市,51582,24638,26944,59796,29986,29810,86.3,82.2,90.4,10.24,5037.3,5839.5
13219,狛江市,58983,27071,31912,78751,38825,39926,74.9,69.7,79.9,6.39,9230.5,12324.1
13220,東大和市,65959,29703,36256,83068,41070,41998,79.4,72.3,86.3,13.54,4871.4,6135
13221,清瀬市,61802,26311,35491,74104,35595,38509,83.4,73.9,92.2,10.19,6065,7272.2
13222,東久留米市,93335,42367,50968,116546,57613,58933,80.1,73.5,86.5,12.92,7224.1,9020.6
13223,武蔵村山市,64590,30603,33987,70053,34944,35109,92.2,87.6,96.8,15.37,4202.3,4557.8
13224,多摩市,145569,65702,79867,147648,73083,74565,98.6,89.9,107.1,21.08,6905.6,7004.2
13225,稲城市,67517,30701,36816,84835,43285,41550,79.6,70.9,88.6,17.97,3757.2,4720.9
13227,羽村市,53221,28209,25012,57032,29161,27871,93.3,96.7,89.7,9.91,5370.4,5755
13228,あきる野市,70137,33435,36702,80868,40386,40482,86.7,82.8,90.7,73.34,956.3,1102.6
13229,西東京市,157250,69289,87961,196511,96437,100074,80,71.8,87.9,15.85,9921.1,12398.2
13300,郡部,60275,30679,29596,58750,29320,29430,102.6,104.6,100.6,375.96,160.3,156.3
13303,瑞穂町,36272,19479,16793,33497,16945,16552,108.3,115,101.5,16.83,2155.2,1990.3
13305,日の出町,15959,7290,8669,16650,8200,8450,95.8,88.9,102.6,28.08,568.3,592.9
13307,檜原村,2297,1068,1229,2558,1241,1317,89.8,86.1,93.3,105.42,21.8,24.3
13308,奥多摩町,5747,2842,2905,6045,2934,3111,95.1,96.9,93.4,225.63,25.5,26.8
13350,島部,28000,14582,13418,27815,14425,13390,100.7,101.1,100.2,400.97,69.8,69.4
