年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
令和元,2019,総数,Total,,,,3484080,2089331,1394728
令和2,2020,総数,Total,,,,2321481,1512046,809409
令和3,2021,総数,Total,,,,2439829,1465274,974555
令和4,2022,総数,Total,,,,2751303,1544703,1206600
令和5,2023,総数,Total,,,,2972689,1631042,1341647
令和5,2023,うち区部,Ku area only,,,,2475758,1326498,1149260
令和5,2023,東海道本線,Tokaido Line,,,※,578665,303577,275088
令和5,2023,東海道本線,Tokaido Line,東京,Tokyo,,147802,65763,82040
令和5,2023,東海道本線,Tokaido Line,有楽町,Yurakucho,,45945,23137,22808
令和5,2023,東海道本線,Tokaido Line,新橋,Shimbashi,,80195,44750,35445
令和5,2023,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,46360,26626,19734
令和5,2023,東海道本線,Tokaido Line,田町,Tamachi,,43684,27750,15934
令和5,2023,東海道本線,Tokaido Line,高輪ゲートウェイ,Takanawa Gateway,,4067,2662,1404
令和5,2023,東海道本線,Tokaido Line,品川,Shinagawa,,100365,48810,51555
令和5,2023,東海道本線,Tokaido Line,大井町,Oimachi,,30813,16733,14080
令和5,2023,東海道本線,Tokaido Line,大森,Omori,,28633,16764,11869
令和5,2023,東海道本線,Tokaido Line,蒲田,Kamata,,44325,26807,17518
令和5,2023,東海道本線,Tokaido Line,西大井,Nishi-Oi,,6474,3773,2701
令和5,2023,中央本線,Chuo Line,,,,655949,381002,274946
令和5,2023,中央本線,Chuo Line,神田,Kanda,※,32164,17579,14585
令和5,2023,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,31460,19254,12206
令和5,2023,中央本線,Chuo Line,水道橋,Suidobashi,※,25099,12788,12311
令和5,2023,中央本線,Chuo Line,飯田橋,Iidabashi,※,24163,14965,9198
令和5,2023,中央本線,Chuo Line,市ケ谷,Ichigaya,※,18108,11763,6344
令和5,2023,中央本線,Chuo Line,四ツ谷,Yotsuya,※,31449,20316,11133
令和5,2023,中央本線,Chuo Line,信濃町,Shinanomachi,※,7806,3847,3959
令和5,2023,中央本線,Chuo Line,千駄ケ谷,Sendagaya,※,6064,2466,3598
令和5,2023,中央本線,Chuo Line,代々木,Yoyogi,※,20022,9135,10887
令和5,2023,中央本線,Chuo Line,大久保,Okubo,※,8898,4210,4688
令和5,2023,中央本線,Chuo Line,東中野,Higashi-Nakano,※,13105,7103,6002
令和5,2023,中央本線,Chuo Line,中野,Nakano,※,46145,26564,19581
令和5,2023,中央本線,Chuo Line,高円寺,Koenji,※,16862,8671,8190
令和5,2023,中央本線,Chuo Line,阿佐ケ谷,Asagaya,※,14758,8111,6647
令和5,2023,中央本線,Chuo Line,荻窪,Ogikubo,※,29281,16948,12333
令和5,2023,中央本線,Chuo Line,西荻窪,Nishi-Ogikubo,※,15237,8310,6927
令和5,2023,中央本線,Chuo Line,吉祥寺,Kichijoji,,45797,24277,21519
令和5,2023,中央本線,Chuo Line,三鷹,Mitaka,,30659,18878,11781
令和5,2023,中央本線,Chuo Line,武蔵境,Musashi-Sakai,,22482,14671,7811
令和5,2023,中央本線,Chuo Line,東小金井,Higashi-Koganei,,10625,7045,3580
令和5,2023,中央本線,Chuo Line,武蔵小金井,Musashi-Koganei,,20253,13209,7043
令和5,2023,中央本線,Chuo Line,国分寺,Kokubunji,,36231,23253,12977
令和5,2023,中央本線,Chuo Line,西国分寺,Nishi-Kokubunji,,9842,5514,4328
令和5,2023,中央本線,Chuo Line,国立,Kunitachi,,17237,11140,6097
令和5,2023,中央本線,Chuo Line,立川,Tachikawa,,55130,28783,26347
令和5,2023,中央本線,Chuo Line,日野,Hino,,8201,5498,2703
令和5,2023,中央本線,Chuo Line,豊田,Toyoda,,11429,7923,3506
令和5,2023,中央本線,Chuo Line,八王子,Hachioji,,27640,15552,12088
令和5,2023,中央本線,Chuo Line,西八王子,Nishi-Hachioji,,10689,7442,3247
令和5,2023,中央本線,Chuo Line,高尾,Takao,,9116,5786,3329
令和5,2023,南武線,Nambu Line,,,,40754,25129,15625
令和5,2023,南武線,Nambu Line,矢野口,Yanokuchi,,3259,2107,1152
令和5,2023,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2777,1851,926
令和5,2023,南武線,Nambu Line,南多摩,Minamitama,,2234,1321,913
令和5,2023,南武線,Nambu Line,府中本町,Fuchu-Hommachi,,5709,2508,3201
令和5,2023,南武線,Nambu Line,分倍河原,Bubaigawara,,13390,8293,5097
令和5,2023,南武線,Nambu Line,西府,Nishifu,,3620,2541,1078
令和5,2023,南武線,Nambu Line,谷保,Yaho,,3456,2267,1189
令和5,2023,南武線,Nambu Line,矢川,Yagawa,,2931,1903,1028
令和5,2023,南武線,Nambu Line,西国立,Nishi-Kunitachi,,3379,2338,1041
令和5,2023,横浜線,Yokohama Line,,,,53749,33325,20424
令和5,2023,横浜線,Yokohama Line,成瀬,Naruse,,6194,3946,2248
令和5,2023,横浜線,Yokohama Line,町田,Machida,,35981,21482,14499
令和5,2023,横浜線,Yokohama Line,相原,Aihara,,3530,2457,1073
令和5,2023,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6201,4307,1895
令和5,2023,横浜線,Yokohama Line,片倉,Katakura,,1842,1133,709
令和5,2023,青梅線,Ome Line,,,,52924,33793,19131
令和5,2023,青梅線,Ome Line,西立川,Nishi-Tachikawa,,2311,1228,1084
令和5,2023,青梅線,Ome Line,東中神,Higashi-Nakagami,,2510,1680,830
令和5,2023,青梅線,Ome Line,中神,Nakagami,,4103,2755,1348
令和5,2023,青梅線,Ome Line,昭島,Akishima,,8285,5151,3133
令和5,2023,青梅線,Ome Line,拝島,Haijima,,10110,6415,3694
令和5,2023,青梅線,Ome Line,牛浜,Ushihama,,1542,854,688
令和5,2023,青梅線,Ome Line,福生,Fussa,,5393,3297,2096
令和5,2023,青梅線,Ome Line,羽村,Hamura,,4388,2944,1444
令和5,2023,青梅線,Ome Line,小作,Ozaku,,5387,3598,1789
令和5,2023,青梅線,Ome Line,河辺,Kabe,,4421,2925,1496
令和5,2023,青梅線,Ome Line,東青梅,Higashi-Ome,,2197,1549,647
令和5,2023,青梅線,Ome Line,青梅,Ome,,1958,1300,658
令和5,2023,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
令和5,2023,青梅線,Ome Line,日向和田,Hinatawada,○,…,…,…
令和5,2023,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
令和5,2023,青梅線,Ome Line,二俣尾,Futamatao,○,…,…,…
令和5,2023,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
令和5,2023,青梅線,Ome Line,沢井,Sawai,○,…,…,…
令和5,2023,青梅線,Ome Line,御嶽,Mitake,○,…,…,…
令和5,2023,青梅線,Ome Line,川井,Kawai,○,…,…,…
令和5,2023,青梅線,Ome Line,古里,Kori,○,…,…,…
令和5,2023,青梅線,Ome Line,鳩ノ巣,Hatonosu,○,…,…,…
令和5,2023,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
令和5,2023,青梅線,Ome Line,奥多摩,Okutama,,318,95,224
令和5,2023,五日市線,Itsukaichi Line,,,,7362,5085,2277
令和5,2023,五日市線,Itsukaichi Line,熊川,Kumagawa,○,…,…,…
令和5,2023,五日市線,Itsukaichi Line,東秋留,Higashi-Akiru,,1556,1108,448
令和5,2023,五日市線,Itsukaichi Line,秋川,Akigawa,,2159,1471,689
令和5,2023,五日市線,Itsukaichi Line,武蔵引田,Musashi-Hikida,,1454,1080,373
令和5,2023,五日市線,Itsukaichi Line,武蔵増戸,Musashi-Masuko,,841,582,260
令和5,2023,五日市線,Itsukaichi Line,武蔵五日市,Musashi-Itsukaichi,,1352,844,508
令和5,2023,武蔵野線,Musashino Line,,,,21845,14700,7145
令和5,2023,武蔵野線,Musashino Line,北府中,Kita-Fuchu,,4581,3569,1013
令和5,2023,武蔵野線,Musashino Line,新小平,Shin-Kodaira,,3981,2573,1407
令和5,2023,武蔵野線,Musashino Line,新秋津,Shin-Akitsu,,13282,8558,4725
令和5,2023,八高線,Hachiko Line,,,,4970,3542,1428
令和5,2023,八高線,Hachiko Line,北八王子,Kita-Hachioji,,2548,1864,684
令和5,2023,八高線,Hachiko Line,小宮,Komiya,,967,646,321
令和5,2023,八高線,Hachiko Line,東福生,Higashi-Fussa,○,…,…,…
令和5,2023,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1455,1031,423
令和5,2023,東北本線,Tohoku Line,,,※,320553,159642,160911
令和5,2023,東北本線,Tohoku Line,秋葉原,Akihabara,,77591,33372,44220
令和5,2023,東北本線,Tohoku Line,御徒町,Okachimachi,,22272,11009,11263
令和5,2023,東北本線,Tohoku Line,上野,Ueno,,59495,25132,34363
令和5,2023,東北本線,Tohoku Line,鶯谷,Uguisudani,,8504,3486,5018
令和5,2023,東北本線,Tohoku Line,日暮里,Nippori,,37384,19706,17678
令和5,2023,東北本線,Tohoku Line,西日暮里,Nishi-Nippori,,32259,18836,13423
令和5,2023,東北本線,Tohoku Line,田端,Tabata,,14359,7950,6408
令和5,2023,東北本線,Tohoku Line,上中里,Kami-Nakazato,,2524,1552,971
令和5,2023,東北本線,Tohoku Line,王子,Oji,,20840,13103,7737
令和5,2023,東北本線,Tohoku Line,東十条,Higashi-Jujo,,8067,4858,3209
令和5,2023,東北本線,Tohoku Line,赤羽,Akabane,,33541,18262,15279
令和5,2023,東北本線,Tohoku Line,尾久,Oku,,3716,2375,1341
令和5,2023,山手線,Yamanote Line,,,※,874561,447972,426589
令和5,2023,山手線,Yamanote Line,大崎,Osaki,,49237,28712,20525
令和5,2023,山手線,Yamanote Line,五反田,Gotanda,,39396,21710,17686
令和5,2023,山手線,Yamanote Line,目黒,Meguro,,33160,16693,16468
令和5,2023,山手線,Yamanote Line,恵比寿,Ebisu,,44324,21064,23260
令和5,2023,山手線,Yamanote Line,渋谷,Shibuya,,114946,53839,61107
令和5,2023,山手線,Yamanote Line,原宿,Harajuku,,23785,6649,17136
令和5,2023,山手線,Yamanote Line,新宿,Shinjuku,,238120,118537,119584
令和5,2023,山手線,Yamanote Line,新大久保,Shin-Okubo,,17102,5914,11187
令和5,2023,山手線,Yamanote Line,高田馬場,Takadanobaba,,64310,37123,27187
令和5,2023,山手線,Yamanote Line,目白,Mejiro,,12032,7371,4660
令和5,2023,山手線,Yamanote Line,池袋,Ikebukuro,,179316,97785,81530
令和5,2023,山手線,Yamanote Line,大塚,Otsuka,,19124,9816,9308
令和5,2023,山手線,Yamanote Line,巣鴨,Sugamo,,24074,13868,10206
令和5,2023,山手線,Yamanote Line,駒込,Komagome,,15635,8892,6743
令和5,2023,埼京線,Saikyo Line,,,※,38211,24687,13524
令和5,2023,埼京線,Saikyo Line,板橋,Itabashi,,11658,6757,4901
令和5,2023,埼京線,Saikyo Line,十条,Jujo,,12211,8393,3818
令和5,2023,埼京線,Saikyo Line,北赤羽,Kita-Akabane,,6571,4324,2248
令和5,2023,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7771,5212,2558
令和5,2023,常磐線,Joban Line,,,※,117569,79104,38465
令和5,2023,常磐線,Joban Line,三河島,Mikawashima,,4209,2722,1488
令和5,2023,常磐線,Joban Line,南千住,Minami-Senju,,6063,3794,2269
令和5,2023,常磐線,Joban Line,北千住,Kita-Senju,,70912,49365,21547
令和5,2023,常磐線,Joban Line,綾瀬,Ayase,,4576,2896,1680
令和5,2023,常磐線,Joban Line,亀有,Kameari,,14245,8835,5410
令和5,2023,常磐線,Joban Line,金町,Kanamachi,,17564,11492,6072
令和5,2023,総武線,Sobu Line,,,※,157274,92655,64619
令和5,2023,総武線,Sobu Line,両国,Ryogoku,,12596,6911,5685
令和5,2023,総武線,Sobu Line,浅草橋,Asakusabashi,,17588,9815,7773
令和5,2023,総武線,Sobu Line,新日本橋,Shin-Nihombashi,,6375,4346,2029
令和5,2023,総武線,Sobu Line,馬喰町,Bakurocho,,8796,5516,3280
令和5,2023,総武線,Sobu Line,錦糸町,Kinshicho,,34373,17229,17144
令和5,2023,総武線,Sobu Line,亀戸,Kameido,,19346,11531,7815
令和5,2023,総武線,Sobu Line,平井,Hirai,,10970,7059,3911
令和5,2023,総武線,Sobu Line,新小岩,Shin-Koiwa,,25889,16636,9254
令和5,2023,総武線,Sobu Line,小岩,Koiwa,,21340,13611,7729
令和5,2023,京葉線,Keiyo Line,,,※,48305,26831,21474
令和5,2023,京葉線,Keiyo Line,八丁堀,Hatchobori,,11372,6121,5251
令和5,2023,京葉線,Keiyo Line,越中島,Etchujima,,1911,1178,733
令和5,2023,京葉線,Keiyo Line,潮見,Shiomi,,5429,3387,2042
令和5,2023,京葉線,Keiyo Line,新木場,Shin-Kiba,,24597,13497,11100
令和5,2023,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4995,2647,2347
,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-8　JRの駅別乗車人員 (令和元～5年度) 4-8  NUMBER OF PASSENGERS ON EAST JAPAN RAILWAY COMPANY TRAINS BY STATION ( Fiscal Years 2019-2023 ),,,,,,,,,
各駅の乗車人員は最新年度1年間の合計である。各駅はJRの基準により配列した。 またJR内の乗り継ぎを除く。 乗り換え駅は主線に載せた。,,,,,,,,,
