年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
令和元,2019,総数,Total,,,,,,3273051,1970461,1302590,3252815,1959105,1293710
令和2,2020,総数,Total,,,,,,2199063,1350813,848250,2184675,1342639,842037
令和3,2021,総数,Total,,,,,,2403476,1393990,1009485,2387228,1384992,1002234
令和4,2022,総数,Total,,,,,,2695086,1501175,1193911,2677154,1491531,1185623
令和5,2023,総数,Total,,,,,,2886192,1580913,1305273,2865964,1570853,1295112
令和5,2023,区部,Ku area only,,,,,,2322145,1258010,1064122,2301813,1247950,1053866
令和5,2023,小田急電鉄,Odakyu Electric Railway,,,,,,313068,175842,137226,312905,175842,137064
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,,,,297339,166108,131232,297548,166108,131441
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,新宿,Shinjuku,※,81807,45778,36029,79175,45778,33397
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,南新宿,Minami-Shinjuku,※,677,183,494,741,183,558
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,参宮橋,Sangubashi,※,2280,852,1428,2344,852,1492
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木八幡,Yoyogi-Hachiman,※,3381,1559,1822,3294,1559,1735
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木上原,Yoyogi-Uehara,※,45536,26501,19035,48531,26501,22031
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,東北沢,Higashi-Kitazawa,※,1394,517,876,1388,517,870
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,下北沢,Shimo-Kitazawa,※,21729,9721,12007,21771,9721,12050
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,世田谷代田,Setagaya-Daita,※,1791,737,1053,1702,737,965
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,梅ヶ丘,Umegaoka,※,5746,3460,2286,5662,3460,2203
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,豪徳寺,Gotokuji,※,4879,2424,2454,4704,2424,2280
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,経堂,Kyodo,※,14466,8435,6031,14559,8435,6124
令和5,2023,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,千歳船橋,Chitose-Funabashi,※,9998,5788,4210,9845,5788,4058
