年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets,,,,
令和元,2019,総数,Total,,,,,,3789500,2208955,1580545,3789399,2208953,1580446,,,,
令和2,2020,総数,Total,,,,,,2496030,1558916,937113,2495994,1558916,937077,,,,
令和3,2021,総数,Total,,,,,,2613399,1492092,1121307,2613871,1492092,1121779,,,,
令和4,2022,総数,Total,,,,,,2972260,1608997,1363262,2972910,1608997,1363912,,,,
令和5,2023,総数,Total,,,,,,3283049,1723838,1559211,3283545,1723838,1559707,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,,,,,,2260042,1169927,1090115,2260282,1169927,1090355,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,,,※,242897,97647,145250,243719,97647,146072,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,渋谷,Shibuya,◎,33181,13657,19524,32570,13657,18913,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,表参道,Omote-Sando,◎,10599,3263,7336,11171,3263,7908,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,外苑前,Gaiemmae,,12733,5425,7308,13769,5425,8344,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,青山一丁目,Aoyama-Itchome,◎,7959,3247,4712,7935,3247,4688,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,赤坂見附,Akasaka-Mitsuke,◎,7583,3536,4047,7486,3536,3950,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,溜池山王,Tameike-Sanno,◎,8543,3671,4872,8013,3671,4342,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,虎ノ門,Toranomon,,16637,9345,7292,16764,9345,7419,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,新橋,Shimbashi,,35965,16587,19378,35176,16587,18589,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,銀座,Ginza,◎,13953,4430,9523,14647,4430,10217,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,京橋,Kyobashi,,9145,4418,4727,9411,4418,4993,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,日本橋,Nihombashi,◎,10796,3779,7017,10192,3779,6413,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,三越前,Mitsukoshimae,◎,11142,4582,6560,11094,4582,6512,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,神田,Kanda,,9933,3579,6354,9686,3579,6107,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,末広町,Suehirocho,,4485,1359,3126,4519,1359,3160,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野広小路,Ueno-Hirokoji,◎,4294,917,3377,4414,917,3497,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野,Ueno,◎,18049,6970,11079,18866,6970,11896,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,稲荷町,Inaricho,,3228,1487,1741,3190,1487,1703,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,田原町,Tawaramachi,,6067,1880,4187,6117,1880,4237,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,浅草,Asakusa,,18605,5515,13090,18699,5515,13184,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,,,※,340667,170990,169677,341361,170990,170371,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,池袋,Ikebukuro,◎,44725,24019,20706,44062,24019,20043,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新大塚,Shin-Otsuka,,4605,2163,2442,4579,2163,2416,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,茗荷谷,Myogadani,,13878,8781,5097,14027,8781,5246,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,後楽園,Korakuen,◎,11134,4518,6616,10943,4518,6425,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,本郷三丁目,Hongo-Sanchome,,9011,5083,3928,9105,5083,4022,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,御茶ノ水,Ochanomizu,,9489,5065,4424,9514,5065,4449,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,淡路町,Awajicho,◎,10259,5073,5186,9863,5073,4790,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,大手町,Otemachi,◎,9693,4564,5129,9311,4564,4747,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,東京,Tokyo,,33091,15009,18082,35077,15009,20068,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,銀座,Ginza,◎,14884,4839,10045,14828,4839,9989,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,霞ケ関,Kasumigaseki,◎,10597,7703,2894,10440,7703,2737,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,国会議事堂前,Kokkai-Gijidomae,◎,3732,1828,1904,3761,1828,1933,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,赤坂見附,Akasaka-Mitsuke,◎,8444,3912,4532,8143,3912,4231,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,四ツ谷,Yotsuya,◎,12688,6711,5977,11885,6711,5174,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,四谷三丁目,Yotsuya-Sanchome,,7532,3145,4387,7553,3145,4408,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新宿御苑前,Shinjuku-Gyoemmae,,8365,4063,4302,8972,4063,4909,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新宿三丁目,Shinjuku-Sanchome,◎,14463,2733,11730,14402,2733,11669,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新宿,Shinjuku,,34974,18071,16903,35727,18071,17656,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,西新宿,Nishi-Shinjuku ,,13934,7394,6540,14611,7394,7217,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,中野坂上,Nakano-Sakaue,◎,13088,7193,5895,12790,7193,5597,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新中野,Shin-Nakano,,5998,3124,2874,6061,3124,2937,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,東高円寺,Higashi-Koenji,,5903,3202,2701,5780,3202,2578,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新高円寺,Shin-Koenji,,6256,3387,2869,6207,3387,2820,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,南阿佐ケ谷,Minami-Asagaya,,4912,2464,2448,4843,2464,2379,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,荻窪,Ogikubo,,15059,8910,6149,14968,8910,6058,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,中野新橋,Nakano-Shimbashi,,3595,1926,1669,3581,1926,1655,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,中野富士見町,Nakano-Fujimicho,,3378,1984,1394,3346,1984,1362,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,方南町,Honancho,,6980,4126,2854,6982,4126,2856,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,,,※,309546,153383,156163,312232,153383,158849,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,北千住,Kita-Senju,◎,49194,31357,17837,48440,31357,17083,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,南千住,Minami-Senju,,5629,2829,2800,5833,2829,3004,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,三ノ輪,Minowa,,7991,4021,3970,8090,4021,4069,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,入谷,Iriya,,6730,3131,3599,6533,3131,3402,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,上野,Ueno,◎,14345,6610,7735,14723,6610,8113,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,仲御徒町,Naka-Okachimachi,◎,7194,3320,3874,7309,3320,3989,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,秋葉原,Akihabara,,19419,9929,9490,19865,9929,9936,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,小伝馬町,Kodemmacho,,6463,3657,2806,6421,3657,2764,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,人形町,Ningyocho,◎,12008,6881,5127,12002,6881,5121,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,茅場町,Kayabacho,◎,7869,4044,3825,7628,4044,3584,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,八丁堀,Hatchobori,,18328,9638,8690,17878,9638,8240,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,築地,Tsukiji,◎,10645,4847,5798,10900,4847,6053,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,東銀座,Higashi-Ginza,,13962,6747,7215,14041,6747,7294,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,銀座,Ginza,◎,10575,4044,6531,10625,4044,6581,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,日比谷,Hibiya,◎,8767,3349,5418,8572,3349,5223,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,霞ケ関,Kasumigaseki,◎,4343,3014,1329,4328,3014,1314,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,虎ノ門ヒルズ,Toranomon-Hills,,7626,3563,4063,8907,3563,5344,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,神谷町,Kamiyacho,,16261,7852,8409,16303,7852,8451,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,六本木,Roppongi,,19128,6981,12147,19374,6981,12393,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,広尾,Hiro-O,,10474,5135,5339,10329,5135,5194,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,恵比寿,Ebisu,,17734,7012,10722,18254,7012,11242,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,中目黒,Naka-Meguro,,34861,15422,19439,35877,15422,20455,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,,,※,268163,148888,119275,267056,148888,118168,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,中野,Nakano,,24858,14190,10668,24369,14190,10179,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,落合,Ochiai,,4648,2326,2322,4550,2326,2224,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,高田馬場,Takadanobaba,,31218,17779,13439,30036,17779,12257,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,早稲田,Waseda,,13991,8300,5691,13831,8300,5531,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,神楽坂,Kagurazaka,,6900,3340,3560,7222,3340,3882,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,飯田橋,Iidabashi,◎,10107,5000,5107,9891,5000,4891,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,九段下,Kudanshita,◎,16163,8100,8063,15888,8100,7788,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,竹橋,Takebashi,,7412,3961,3451,7573,3961,3612,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,大手町,Otemachi,◎,25172,13567,11605,25183,13567,11616,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,日本橋,Nihombashi,◎,19435,10095,9340,19281,10095,9186,,,,
